fullVisitorId,GGOEA0CH077599,GGOEACCQ017299,GGOEADHH055999,GGOEADHH073999,GGOEADWQ015699,GGOEAFKQ020499,GGOEAFKQ020599,GGOEAHPA004110,GGOEAHPJ074410,GGOEAKDH019899,GGOEAOCB077499,GGOEAXXX0808,GGOEAXXX0810,GGOEAXXX0812,GGOEGAAX0037,GGOEGAAX0074,GGOEGAAX0081,GGOEGAAX0098,GGOEGAAX0104,GGOEGAAX0105,GGOEGAAX0106,GGOEGAAX0107,GGOEGAAX0168,GGOEGAAX0278,GGOEGAAX0280,GGOEGAAX0282,GGOEGAAX0290,GGOEGAAX0296,GGOEGAAX0299,GGOEGAAX0304,GGOEGAAX0306,GGOEGAAX0308,GGOEGAAX0309,GGOEGAAX0313,GGOEGAAX0318,GGOEGAAX0320,GGOEGAAX0323,GGOEGAAX0325,GGOEGAAX0326,GGOEGAAX0329,GGOEGAAX0330,GGOEGAAX0334,GGOEGAAX0338,GGOEGAAX0341,GGOEGAAX0342,GGOEGAAX0351,GGOEGAAX0352,GGOEGAAX0353,GGOEGAAX0356,GGOEGAAX0357,GGOEGAAX0358,GGOEGAAX0361,GGOEGAAX0364,GGOEGAAX0365,GGOEGAAX0366,GGOEGAAX0567,GGOEGAAX0568,GGOEGAAX0569,GGOEGAAX0570,GGOEGAAX0578,GGOEGAAX0579,GGOEGAAX0580,GGOEGAAX0588,GGOEGAAX0592,GGOEGAAX0593,GGOEGAAX0595,GGOEGAAX0596,GGOEGAAX0602,GGOEGAAX0604,GGOEGAAX0606,GGOEGAAX0607,GGOEGAAX0610,GGOEGAAX0617,GGOEGAAX0618,GGOEGAAX0619,GGOEGAAX0620,GGOEGAAX0622,GGOEGAAX0625,GGOEGAAX0626,GGOEGAAX0651,GGOEGAAX0655,GGOEGAAX0661,GGOEGAAX0671,GGOEGAAX0680,GGOEGAAX0682,GGOEGAAX0686,GGOEGAAX0690,GGOEGAAX0731,GGOEGAAX0733,GGOEGAAX0761,GGOEGAAX0781,GGOEGAAX0795,GGOEGBCR024399,GGOEGBFC018799,GGOEGBJC014399,GGOEGBJC019999,GGOEGBJL013999,GGOEGBMC056599,GGOEGBMJ013399,GGOEGBPB021199,GGOEGBPB082099,GGOEGBRA037499,GGOEGBRB013899,GGOEGBRJ037299,GGOEGBRJ037399,GGOEGCBB074199,GGOEGCBB074399,GGOEGCBC074299,GGOEGCBQ016499,GGOEGCKQ013199,GGOEGCMB020932,GGOEGCNB021099,GGOEGDHC015299,GGOEGDHC074099,GGOEGDHQ015399,GGOEGDHR082199,GGOEGDWR015799,GGOEGEHQ024099,GGOEGEHQ071199,GGOEGEHQ072499,GGOEGEHQ072599,GGOEGESB015099,GGOEGESB015199,GGOEGESC014099,GGOEGESQ016799,GGOEGETB023799,GGOEGEVA022399,GGOEGEVB070599,GGOEGFAQ016699,GGOEGFKA022299,GGOEGFKQ020399,GGOEGFKQ020799,GGOEGFQB013799,GGOEGFSR022099,GGOEGFYQ016599,GGOEGGCX056199,GGOEGGCX056299,GGOEGGOA017399,GGOEGHPB003410,GGOEGHPB071610,GGOEGHPJ080310,GGOEGHPL003214,GGOEGKAA019299,GGOEGKWQ060910,GGOEGKWR060810,GGOEGOAB021499,GGOEGOAB022499,GGOEGOAQ012899,GGOEGOAQ018099,GGOEGOAQ020099,GGOEGOAR013099,GGOEGOBC078699,GGOEGOBG023599,GGOEGOCB017499,GGOEGOCC077299,GGOEGOCC077999,GGOEGOCD078399,GGOEGOCL077699,GGOEGOCR078499,GGOEGODR017799,GGOEGOFH020299,GGOEGOLC013299,GGOEGOLC014299,GGOEGOXQ016399,GGOEGPJC203399,GGOEGXXX0806,GGOEWAEA083899,GGOEWCKQ085457,GGOEWEBB082699,GGOEYDHJ056099,GGOEYFKQ020699,GGOEYHPB072210,GGOEYOCR077799
454845221896711463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1955252935707288,-0.1292079519755051,,,,,,-0.03520397298542021,,,,,,,,,,,,,,,,,,,
811215767847921598,,,0.5138217541931421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5334519922113386772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15909704626978152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431781159932899381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2060747515268755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7083651462602256215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8885422469790736188,,,,,,,,,,,,,,,,,,,-0.19553503895523947,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1955252935707288,,,,,,,,,,,,,,,,-0.1955252935707288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140515510840599351,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06949798107852706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1645934431338089,,,,,,,,,,,,,,,,,-0.12474456586961054,
1904044281872619820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510170651126670568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19553503895523947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5918721989053447180,,,,,,,,,,,,,,,,,,,-0.18929799286839993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
