userId,itemId,session_duration
4799379227714170002-1,GGOEYDHJ056099,153
4841594360292833266-1,GGOEGAAX0731,8793
485797735449723544-1,GGOEGESB015199,0
485797735449723544-2,GGOEYFKQ020699,0
4871061239735971842-3,GGOEGBRJ037399,191088
4871061239735971842-3,GGOEGDHC074099,0
4871061239735971842-3,GGOEGDHC015299,4307
4871061239735971842-3,GGOEGCNB021099,0
4871061239735971842-4,GGOEGOCC077999,0
4871061239735971842-4,GGOEGBRJ037399,11153
4891367157966215686-1,GGOEGAAX0104,2465
4908800356431619540-3,GGOEGXXX0806,0
4908800356431619540-3,GGOEGAAX0106,4208
4908800356431619540-3,GGOEGAAX0104,4351
4908800356431619540-4,GGOEGAAX0104,0
4908800356431619540-4,GGOEGXXX0806,3007
4908800356431619540-4,GGOEGAAX0106,8037
4959929165076044230-2,GGOEGAAX0037,0
496578757391920977-2,GGOEYFKQ020699,0
49931492016965831-1,GGOEGEVA022399,9821
5012979848533101212-1,GGOEGBRA037499,0
5014540371440158686-1,GGOEYHPB072210,651
5016900699181272612-1,GGOEGBRJ037399,6866
5036504003993248220-1,GGOEGBJC014399,158725
5036504003993248220-1,GGOEADWQ015699,1
5074660303190613667-1,GGOEGBRJ037399,130211
5074660303190613667-1,GGOEGBRJ037299,269
509377181616367629-1,GGOEGAAX0306,1216
5108127937752582001-1,GGOEYDHJ056099,421266
5108127937752582001-1,GGOEYOCR077799,2007
5108127937752582001-1,GGOEGKAA019299,7217
5108127937752582001-1,GGOEYFKQ020699,1479
5108127937752582001-1,GGOEGFKQ020799,0
5108127937752582001-2,GGOEYOCR077799,1904
5108127937752582001-2,GGOEGKAA019299,1783
5108127937752582001-2,GGOEGGOA017399,6374
5108127937752582001-2,GGOEYDHJ056099,1895
5108127937752582001-2,GGOEYFKQ020699,2266
5108127937752582001-2,GGOEGFKQ020799,2708
51121380870457542-2,GGOEGODR017799,2412
512480056932695240-3,GGOEGOXQ016399,1274
513443874219533136-1,GGOEGAAX0351,40659
513443874219533136-1,GGOEGAAX0593,2612
51569945671479788-1,GGOEYFKQ020699,0
5187966439034093084-1,GGOEGDHQ015399,290633
5187966439034093084-1,GGOEGCBB074399,1
5187966439034093084-1,GGOEGEVA022399,0
5191714303283334364-1,GGOEGCKQ013199,1
5191714303283334364-1,GGOEGCNB021099,0
5196510095914060300-2,GGOEGAAX0318,5484
5208937953046059083-77,GGOEGBRJ037299,0
52381813974609729-1,GGOEAOCB077499,14292
52381813974609729-1,GGOEGOCC077299,4745
52381813974609729-1,GGOEGOCB017499,6931
5247088189467403090-1,GGOEACCQ017299,0
5299840209528355476-1,GGOEYFKQ020699,6419
5321699176786856383-1,GGOEGEVA022399,126057
5321699176786856383-1,GGOEGOAB022499,0
5334519922113386772-1,GGOEGEVA022399,3739
534050309417390972-2,GGOEGDHC074099,2721
5371617068925994598-1,GGOEGAAX0037,0
5374636950619010807-1,GGOEGHPB071610,1131
5396316380545596534-1,GGOEGDHQ015399,2925
5404482496812265594-1,GGOEAXXX0808,229885
5404482496812265594-1,GGOEGAAX0104,0
5438506007142109144-1,GGOEGAAX0104,3220
5449771938159563164-1,GGOEYFKQ020699,658
5493590651204923543-2,GGOEGOCL077699,3922
5493590651204923543-2,GGOEGOCB017499,0
551028300396393478-1,GGOEGBRB013899,0
5517518226296980531-1,GGOEGAAX0330,0
5552602223219141230-2,GGOEGAAX0338,0
5569090975719749657-4,GGOEAFKQ020599,1
5596095564243535655-1,GGOEGFKQ020399,0
5642616598374575878-1,GGOEYOCR077799,18281
5644663710139527686-2,GGOEGAAX0338,1013201
5644663710139527686-2,GGOEGAAX0104,0
5645525901423795365-1,GGOEGAAX0318,1
5650628204685893274-1,GGOEGAAX0364,6609
5665035179702438805-1,GGOEGAAX0341,4289
5665035179702438805-1,GGOEGAAX0606,2
5665035179702438805-1,GGOEGBRJ037399,2498
5665035179702438805-1,GGOEGBRA037499,5025
5665035179702438805-1,GGOEGAAX0795,2585
5665035179702438805-1,GGOEGBRJ037299,7540
5665035179702438805-1,GGOEGAAX0299,1
5665035179702438805-1,GGOEGCMB020932,1
5705874741137472356-1,GGOEGFKQ020799,6268
57196719909669060-1,GGOEGAAX0318,0
573154037338008171-1,GGOEGAAX0318,0
5768779985718104713-1,GGOEGAAX0592,0
5772921781547143127-8,GGOEGAAX0313,11926
5772921781547143127-8,GGOEGBJC019999,8313
5772921781547143127-8,GGOEGAAX0680,10427
5772921781547143127-8,GGOEGBJC014399,0
5772921781547143127-8,GGOEGBJL013999,4730
5772921781547143127-8,GGOEYHPB072210,0
5772921781547143127-8,GGOEGDHQ015399,0
5835011534221003810-1,GGOEGHPJ080310,2127
5835011534221003810-2,GGOEGHPJ080310,3226
5835011534221003810-3,GGOEGHPJ080310,1400
5837861602768827939-3,GGOEGAAX0606,3350
5837861602768827939-3,GGOEGAAX0361,0
5837861602768827939-3,GGOEGAAX0341,2793
5857508451628108813-1,GGOEGAAX0353,7472
586698229787787437-1,GGOEGAAX0338,0
5873059317509196502-1,GGOEGAAX0104,0
5883164011639311823-1,GGOEGAAX0661,0
5918204463043019202-2,GGOEGFAQ016699,15711
5918204463043019202-2,GGOEGESQ016799,6534
5918721989053447180-1,GGOEGAAX0104,995
5926242413751959519-4,GGOEGAAX0341,2929
5926242413751959519-4,GGOEGAAX0299,9855
598517298356059273-1,GGOEGAAX0361,3543
5994882421687804417-1,GGOEAXXX0808,6617
5994882421687804417-2,GGOEAXXX0808,2696
6090307959373790386-1,GGOEGAAX0318,14951
6090307959373790386-1,GGOEGAAX0325,615
6122352189241442329-1,GGOEGAAX0569,1397
6122352189241442329-1,GGOEGAAX0596,3545
6122352189241442329-1,GGOEGAAX0731,0
616813475440297008-4,GGOEGBRB013899,0
620323593193754739-1,GGOEYFKQ020699,0
6229313771651311196-1,GGOEGDHR082199,2370
6229313771651311196-1,GGOEGDHC074099,6532
6229313771651311196-1,GGOEADHH073999,7264
6229313771651311196-2,GGOEGDHC074099,1348
6235333906233118646-1,GGOEGAAX0325,0
6245888094161327613-10,GGOEAKDH019899,1
6245888094161327613-9,GGOEGCBB074399,270938
6245888094161327613-9,GGOEAKDH019899,3815
6281969399295268989-1,GGOEGAAX0330,10209
6317122696265127101-1,GGOEGFSR022099,2586
6356772384621900900-2,GGOEGBJC019999,0
6362417049769170223-2,GGOEAOCB077499,1
643249846894129525-4,GGOEYOCR077799,0
6454152396954180970-1,GGOEGAAX0318,0
649889300215934582-6,GGOEGAAX0290,47658
649889300215934582-6,GGOEYHPB072210,14939
650734198077784452-5,GGOEGAAX0308,3545
650734198077784452-6,GGOEGAAX0356,4754
650734198077784452-6,GGOEGAAX0357,7639
650734198077784452-6,GGOEGAAX0338,0
653855261936813301-1,GGOEGBJL013999,0
653855261936813301-1,GGOEGBRJ037299,2114
653855261936813301-1,GGOEGAAX0795,0
653855261936813301-1,GGOEGBRJ037399,1837
653855261936813301-1,GGOEGBRB013899,0
653855261936813301-1,GGOEGDHQ015399,0
653855261936813301-1,GGOEGOXQ016399,15280
653855261936813301-1,GGOEGOAR013099,0
653855261936813301-1,GGOEGOAB021499,2191
654736404761929369-3,GGOEGAAX0602,3893
6595981885506800184-2,GGOEGBRB013899,3903
659997883658232689-1,GGOEGAAX0338,0
6631067223324142886-1,GGOEYFKQ020699,0
6649661547402538462-1,GGOEGAAX0338,0
6652255958623882302-1,GGOEYFKQ020699,0
665925237862575413-1,GGOEGBJC019999,2296
665925237862575413-1,GGOEGBMC056599,344155
665925237862575413-1,GGOEGBPB082099,3604
6687958275730704367-3,GGOEGBRA037499,0
6687958275730704367-3,GGOEGAAX0596,0
6687958275730704367-3,GGOEGDHQ015399,1892
6695998350292150416-2,GGOEGAAX0318,0
6695998350292150416-2,GGOEGAAX0290,0
6695998350292150416-2,GGOEGAAX0306,0
6701073889215352508-1,GGOEAFKQ020599,5438
6704073824208738094-2,GGOEGESB015099,2368
6720163071515835609-13,GGOEGAAX0037,3276
6756011017275548046-1,GGOEGBRA037499,28101
6779703869558170031-1,GGOEGBRA037499,0
6800773016200108867-1,GGOEYFKQ020699,0
6807929399699118662-1,GGOEGAAX0569,1
6807929399699118662-1,GGOEGBJL013999,0
6819686597729874393-1,GGOEGAAX0617,669471
6819686597729874393-1,GGOEGKWQ060910,3357
6847677700533767581-1,GGOEGEHQ072499,3506
6884489731245835935-3,GGOEGFQB013799,4200
6884489731245835935-3,GGOEGODR017799,1357
6884489731245835935-3,GGOEGAAX0299,0
6884489731245835935-3,GGOEGAAX0278,3
6911303723241317741-8,GGOEGBRA037499,6917
6911303723241317741-8,GGOEGBRB013899,2240
6911303723241317741-8,GGOEGBRJ037299,0
6911303723241317741-8,GGOEGAAX0795,0
6911303723241317741-8,GGOEGBRJ037399,1764
6911303723241317741-8,GGOEGBJL013999,0
6911303723241317741-8,GGOEGBMJ013399,0
6935485519887862639-1,GGOEGAAX0661,305
694658797180418631-1,GGOEGGCX056299,2890
6961461396201166096-1,GGOEGAAX0325,11946
6967791130946939797-1,GGOEYOCR077799,1
6970840496248643321-2,GGOEGDHQ015399,1
698297406423033664-2,GGOEGAAX0568,41485
7012549213059932928-1,GGOEGAAX0588,5461
7012549213059932928-1,GGOEGAAX0578,0
7012549213059932928-1,GGOEGAAX0580,0
7012549213059932928-1,GGOEGAAX0604,0
7012549213059932928-1,GGOEGAAX0596,0
7012549213059932928-1,GGOEGBJL013999,588561
7012549213059932928-2,GGOEADWQ015699,3335
7012549213059932928-2,GGOEGDHQ015399,299608
7012549213059932928-2,GGOEGBJL013999,12486
7012549213059932928-2,GGOEGBCR024399,1522
7012549213059932928-2,GGOEGBMJ013399,58033
7012549213059932928-2,GGOEGOCC077999,0
7083651462602256215-1,GGOEGAAX0353,0
7130862809181577995-1,GGOEGAAX0338,376
716845898585666271-1,GGOEGOLC013299,6260
718640226837019023-1,GGOEGBRB013899,5260
718640226837019023-1,GGOEGAAX0595,74651
718640226837019023-1,GGOEGAAX0037,40972
718640226837019023-1,GGOEGESQ016799,8598
718640226837019023-1,GGOEGESC014099,10176
718640226837019023-1,GGOEGESB015099,11320
718640226837019023-1,GGOEGAAX0104,6887
7197257625515261031-1,GGOEGBRJ037399,0
720378073621403524-1,GGOEGOCD078399,1
720378073621403524-1,GGOEGOCC077299,4743
720378073621403524-1,GGOEAOCB077499,5176
720378073621403524-1,GGOEGBJC019999,1
720378073621403524-1,GGOEGESQ016799,3638
720378073621403524-1,GGOEGESB015099,2092
723764175159758531-2,GGOEGBRA037499,0
7281459057441043181-5,GGOEGAAX0761,6268
7281459057441043181-5,GGOEGHPJ080310,5039
730367780967717148-1,GGOEGAAX0318,1
7311242886083854158-28,GGOEGBJL013999,4421
7311242886083854158-28,GGOEGDHQ015399,0
7348629249376748176-3,GGOEAKDH019899,0
7348629249376748176-3,GGOEGCBQ016499,0
7348629249376748176-3,GGOEGFSR022099,16376
7348629249376748176-3,GGOEGAAX0037,0
7349095852368868081-1,GGOEGOCB017499,1
7356594891179506186-1,GGOEGAAX0318,9245
7356594891179506186-1,GGOEYFKQ020699,1122
7361035572167157097-1,GGOEGDHQ015399,0
7381501839846779174-1,GGOEGAAX0290,0
7416628062417316237-2,GGOEADWQ015699,9857
7420300501523012460-16,GGOEGBPB021199,8311
7420300501523012460-16,GGOEGBMJ013399,0
7420300501523012460-16,GGOEGBJC019999,13886
7420300501523012460-16,GGOEGBJC014399,0
7420300501523012460-16,GGOEGBJL013999,0
7420300501523012460-16,GGOEGBCR024399,1
7420300501523012460-16,GGOEGFKA022299,12931
7420300501523012460-16,GGOEGCBC074299,1
7420300501523012460-16,GGOEGESQ016799,0
7420300501523012460-16,GGOEGESC014099,22403
